file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error
u_mand_factor\set02\u_mand_factor_0.1.py,u_mand_factor,2,u_mand_factor,0.1,2,8,5,0.1,0.5,0.7,0.6,0.2,0.9,70.839998,80,30,18.400002,101.199998,8.560001,1,0,1002,0,ilp_v4,optimal,1,231.076153,61.85153,3.735981,0.2101,0.0,
u_mand_factor\set02\u_mand_factor_0.2.py,u_mand_factor,2,u_mand_factor,0.2,2,8,5,0.2,0.5,0.7,0.6,0.4,0.8,77.280002,80,30,36.8,110.400002,17.12,1,0,1002,0,ilp_v4,optimal,1,195.99357,63.937043,3.065415,0.2235,0.0,
u_mand_factor\set02\u_mand_factor_0.3.py,u_mand_factor,2,u_mand_factor,0.3,2,8,5,0.3,0.5,0.7,0.6,0.6,0.7,83.719992,80,30,55.200001,119.599988,25.680001,1,1,1002,0,ilp_v4,optimal,1,149.213423,80.01851,1.864736,0.305,0.0,
u_mand_factor\set02\u_mand_factor_0.4.py,u_mand_factor,2,u_mand_factor,0.4,2,8,5,0.4,0.5,0.7,0.6,0.8,0.6,90.160004,80,30,73.599997,128.800006,34.239998,1,1,1002,0,ilp_v4,optimal,1,139.307634,89.542734,1.555767,0.3089,0.0,
u_mand_factor\set02\u_mand_factor_0.5.py,u_mand_factor,2,u_mand_factor,0.5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.599995,80,30,91.999999,137.999993,42.799999,1,1,1002,0,ilp_v4,optimal,1,127.968851,96.516646,1.325873,0.7999,0.0,
u_mand_factor\set02\u_mand_factor_0.6.py,u_mand_factor,2,u_mand_factor,0.6,2,8,5,0.6,0.5,0.7,0.6,1.2,0.4,103.039989,80,30,110.399998,147.199984,51.359999,1,1,1002,0,ilp_v4,optimal,1,95.724607,103.035592,0.929044,1.2995,9.5e-05,
u_mand_factor\set02\u_mand_factor_0.7.py,u_mand_factor,2,u_mand_factor,0.7,2,8,5,0.7,0.5,0.7,0.6,1.4,0.3,109.48001,80,30,128.799998,156.400014,59.919999,1,1,1002,0,ilp_v4,optimal,1,61.633972,109.472821,0.563007,1.7358,4.1e-05,
u_mand_factor\set02\u_mand_factor_0.8.py,u_mand_factor,2,u_mand_factor,0.8,2,8,5,0.8,0.5,0.7,0.6,1.6,0.2,115.920013,80,30,147.199999,165.600018,68.479999,1,1,1002,0,ilp_v4,optimal,1,4.315541,115.919392,0.037229,3.9072,0.0,
u_mand_factor\set02\u_mand_factor_0.9.py,u_mand_factor,2,u_mand_factor,0.9,2,8,5,0.9,0.5,0.7,0.6,1.8,0.1,122.359999,80,30,165.600003,174.799999,77.040002,1,1,1002,0,ilp_v4,infeasible,0,,,,0.102,,
u_mand_factor\set03\u_mand_factor_0.1.py,u_mand_factor,3,u_mand_factor,0.1,2,8,5,0.1,0.5,0.7,0.6,0.2,0.9,70.839997,80,27,18.399999,101.199995,8.573333,1,0,1003,0,ilp_v4,optimal,1,235.991183,57.10229,4.13278,0.1619,0.0,
u_mand_factor\set03\u_mand_factor_0.2.py,u_mand_factor,3,u_mand_factor,0.2,2,8,5,0.2,0.5,0.7,0.6,0.4,0.8,77.279998,80,27,36.799992,110.399997,17.146663,1,0,1003,0,ilp_v4,optimal,1,199.11193,75.862122,2.624655,0.1981,0.0,
u_mand_factor\set03\u_mand_factor_0.3.py,u_mand_factor,3,u_mand_factor,0.3,2,8,5,0.3,0.5,0.7,0.6,0.6,0.7,83.72,80,27,55.199999,119.6,25.719999,1,1,1003,0,ilp_v4,optimal,1,175.867909,81.213367,2.165504,0.1737,0.0,
u_mand_factor\set03\u_mand_factor_0.4.py,u_mand_factor,3,u_mand_factor,0.4,2,8,5,0.4,0.5,0.7,0.6,0.8,0.6,90.160009,80,27,73.600006,128.800013,34.293336,1,1,1003,0,ilp_v4,optimal,1,150.398871,87.446802,1.71989,0.2024,0.0,
u_mand_factor\set03\u_mand_factor_0.5.py,u_mand_factor,3,u_mand_factor,0.5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,27,92.000005,138.0,42.866669,1,1,1003,0,ilp_v4,optimal,1,126.749218,96.59135,1.312221,0.3164,0.0,
u_mand_factor\set03\u_mand_factor_0.6.py,u_mand_factor,3,u_mand_factor,0.6,2,8,5,0.6,0.5,0.7,0.6,1.2,0.4,103.039998,80,27,110.399999,147.199998,51.439999,1,1,1003,0,ilp_v4,optimal,1,90.854441,103.036262,0.881772,1.8333,2.7e-05,
u_mand_factor\set03\u_mand_factor_0.7.py,u_mand_factor,3,u_mand_factor,0.7,2,8,5,0.7,0.5,0.7,0.6,1.4,0.3,109.480005,80,27,128.799997,156.400007,60.013332,1,1,1003,0,ilp_v4,optimal,1,51.372535,109.467158,0.469296,1.7985,0.0,
u_mand_factor\set03\u_mand_factor_0.8.py,u_mand_factor,3,u_mand_factor,0.8,2,8,5,0.8,0.5,0.7,0.6,1.6,0.2,115.919992,80,27,147.199999,165.599988,68.586666,1,1,1003,0,ilp_v4,infeasible,0,,,,0.0977,,
u_mand_factor\set03\u_mand_factor_0.9.py,u_mand_factor,3,u_mand_factor,0.9,2,8,5,0.9,0.5,0.7,0.6,1.8,0.1,122.360006,80,27,165.599995,174.800009,77.159998,1,1,1003,0,ilp_v4,infeasible,0,,,,0.1039,,
u_mand_factor\set04\u_mand_factor_0.1.py,u_mand_factor,4,u_mand_factor,0.1,2,8,5,0.1,0.5,0.7,0.6,0.2,0.9,70.840009,80,33,18.400001,101.200013,8.817143,1,0,1004,0,ilp_v4,optimal,1,204.299234,68.725197,2.972698,0.292,0.0,
u_mand_factor\set04\u_mand_factor_0.2.py,u_mand_factor,4,u_mand_factor,0.2,2,8,5,0.2,0.5,0.7,0.6,0.4,0.8,77.280002,80,33,36.799998,110.400003,17.634285,1,0,1004,0,ilp_v4,optimal,1,182.388335,77.074141,2.366401,0.3137,0.0,
u_mand_factor\set04\u_mand_factor_0.3.py,u_mand_factor,4,u_mand_factor,0.3,2,8,5,0.3,0.5,0.7,0.6,0.6,0.7,83.719986,80,33,55.199995,119.59998,26.451426,1,1,1004,0,ilp_v4,optimal,1,158.443841,83.671334,1.893645,0.3175,0.0,
u_mand_factor\set04\u_mand_factor_0.4.py,u_mand_factor,4,u_mand_factor,0.4,2,8,5,0.4,0.5,0.7,0.6,0.8,0.6,90.159994,80,33,73.600001,128.799992,35.268572,1,1,1004,0,ilp_v4,optimal,1,136.653499,89.364459,1.529171,0.3178,0.0,
u_mand_factor\set04\u_mand_factor_0.5.py,u_mand_factor,4,u_mand_factor,0.5,2,8,5,0.5,0.5,0.7,0.6,1.0,0.5,96.6,80,33,92.000002,138.0,44.085715,1,1,1004,0,ilp_v4,optimal,1,115.850221,96.121504,1.205248,0.8344,0.0,
u_mand_factor\set04\u_mand_factor_0.6.py,u_mand_factor,4,u_mand_factor,0.6,2,8,5,0.6,0.5,0.7,0.6,1.2,0.4,103.039987,80,33,110.399999,147.199982,52.902857,1,1,1004,0,ilp_v4,optimal,1,88.936696,103.038445,0.863141,2.0265,0.0,
u_mand_factor\set04\u_mand_factor_0.7.py,u_mand_factor,4,u_mand_factor,0.7,2,8,5,0.7,0.5,0.7,0.6,1.4,0.3,109.480002,80,33,128.799995,156.400003,61.719998,1,1,1004,0,ilp_v4,optimal,1,55.390543,109.479848,0.505943,1.6855,7.3e-05,
