file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error,runtime_best,runtime_worst,repeats,censored,nondeterministic
rho\set00\rho_0.6.py,rho,0,rho,0.6,2,5,5,0.5,0.5,0.6,0.6,1.0,0.5,41.400003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,optimal,1,55.573848,41.398104,1.342425,0.321778,0.0,,0.321778,0.374174,3,0,0
rho\set00\rho_0.6.py,rho,0,rho,0.6,2,5,5,0.5,0.5,0.6,0.6,1.0,0.5,41.400003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,infeasible,0,,46.000002,,0.000416,,over budget: E=46.0000 > B=41.4000,0.000416,0.000678,3,0,0
rho\set00\rho_0.7.py,rho,0,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,64.70866,48.292486,1.339932,0.025033,0.0,,0.025033,0.027527,3,0,0
rho\set00\rho_0.7.py,rho,0,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,61.915628,47.940817,1.291501,0.052474,0.0,,0.052474,0.058395,3,0,0
rho\set00\rho_0.7.py,rho,0,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,optimal,1,67.365432,47.602778,1.415158,0.061145,0.0,,0.061145,0.069715,3,0,0
rho\set00\rho_0.7.py,rho,0,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,8.364274,48.284027,0.173231,0.000875,,,0.000875,0.000999,3,0,0
rho\set00\rho_0.8.py,rho,0,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.200004,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,67.365432,54.68654,1.231847,0.006606,0.0,,0.006606,0.007039,3,0,0
rho\set00\rho_0.8.py,rho,0,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.200004,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,67.365432,52.972365,1.271709,0.006783,0.0,,0.006783,0.007413,3,0,0
rho\set00\rho_0.8.py,rho,0,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.200004,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,optimal,1,67.365432,54.68654,1.231847,0.027289,0.0,,0.027289,0.028011,3,0,0
rho\set00\rho_0.8.py,rho,0,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.200004,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,30.670632,55.179962,0.555829,0.002205,,,0.002205,0.002325,3,0,0
rho\set00\rho_0.9.py,rho,0,rho,0.9,2,5,5,0.5,0.5,0.9,0.6,1.0,0.5,62.100004,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v2,optimal,1,67.365432,59.795849,1.12659,0.006115,0.0,,0.006115,0.006885,3,0,0
rho\set00\rho_0.9.py,rho,0,rho,0.9,2,5,5,0.5,0.5,0.9,0.6,1.0,0.5,62.100004,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v3,optimal,1,67.365432,55.510635,1.213559,0.006276,0.0,,0.006276,0.006912,3,0,0
