file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error
u_opt_factor\set01\u_opt_factor_0.6.py,u_opt_factor,1,u_opt_factor,0.6,2,5,5,0.5,0.6,0.7,0.6,1.0,0.6,51.519998,40,13,46.000002,73.599997,21.433334,1,1,1001,0,heuristic_v5b,solved,1,55.004763,51.515148,1.06774,0.007,,
u_opt_factor\set01\u_opt_factor_0.8.py,u_opt_factor,1,u_opt_factor,0.8,2,5,5,0.5,0.8,0.7,0.6,1.0,0.8,57.959999,40,13,46.000002,82.799999,21.433334,1,1,1001,0,ilp_v1,optimal,1,87.476245,57.921673,1.510251,0.5505,0.0,
u_opt_factor\set01\u_opt_factor_0.8.py,u_opt_factor,1,u_opt_factor,0.8,2,5,5,0.5,0.8,0.7,0.6,1.0,0.8,57.959999,40,13,46.000002,82.799999,21.433334,1,1,1001,0,ilp_v2,optimal,1,79.414068,57.928432,1.3709,0.1087,0.0,
u_opt_factor\set01\u_opt_factor_0.8.py,u_opt_factor,1,u_opt_factor,0.8,2,5,5,0.5,0.8,0.7,0.6,1.0,0.8,57.959999,40,13,46.000002,82.799999,21.433334,1,1,1001,0,heuristic_v5b,solved,1,68.541414,57.922536,1.183329,0.0087,,
u_opt_factor\set02\u_opt_factor_0.2.py,u_opt_factor,2,u_opt_factor,0.2,2,5,5,0.5,0.2,0.7,0.6,1.0,0.2,38.639998,40,11,46.000001,55.199998,21.400001,1,1,1002,0,ilp_v1,optimal,1,30.477698,38.066326,0.800647,0.0382,0.0,
u_opt_factor\set02\u_opt_factor_0.2.py,u_opt_factor,2,u_opt_factor,0.2,2,5,5,0.5,0.2,0.7,0.6,1.0,0.2,38.639998,40,11,46.000001,55.199998,21.400001,1,1,1002,0,ilp_v2,optimal,1,30.477698,38.541279,0.790781,0.0133,0.0,
u_opt_factor\set02\u_opt_factor_0.2.py,u_opt_factor,2,u_opt_factor,0.2,2,5,5,0.5,0.2,0.7,0.6,1.0,0.2,38.639998,40,11,46.000001,55.199998,21.400001,1,1,1002,0,heuristic_v5b,solved,1,23.451325,38.241005,0.613251,0.003,,
u_opt_factor\set02\u_opt_factor_0.4.py,u_opt_factor,2,u_opt_factor,0.4,2,5,5,0.5,0.4,0.7,0.6,1.0,0.4,45.080001,40,11,46.000001,64.400001,21.400001,1,1,1002,0,ilp_v1,optimal,1,60.490927,44.734268,1.352228,0.0421,0.0,
u_opt_factor\set02\u_opt_factor_0.4.py,u_opt_factor,2,u_opt_factor,0.4,2,5,5,0.5,0.4,0.7,0.6,1.0,0.4,45.080001,40,11,46.000001,64.400001,21.400001,1,1,1002,0,ilp_v2,optimal,1,47.947517,43.962199,1.090653,0.3503,0.0,
u_opt_factor\set02\u_opt_factor_0.4.py,u_opt_factor,2,u_opt_factor,0.4,2,5,5,0.5,0.4,0.7,0.6,1.0,0.4,45.080001,40,11,46.000001,64.400001,21.400001,1,1,1002,0,heuristic_v5b,solved,1,30.50214,44.980781,0.678115,0.0033,,
