file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error,runtime_best,runtime_worst,repeats,censored,nondeterministic
u_opt_factor\set00\u_opt_factor_0.5.py,u_opt_factor,0,u_opt_factor,0.5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,ilp_v4,optimal,1,67.365432,47.602778,1.415158,0.060108,0.0,,0.060108,0.068627,3,0,0
u_opt_factor\set00\u_opt_factor_0.5.py,u_opt_factor,0,u_opt_factor,0.5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300003,40,13,46.000002,69.000005,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,8.364274,48.284027,0.173231,0.000889,,,0.000889,0.001,3,0,0
u_opt_factor\set00\u_opt_factor_0.6.py,u_opt_factor,0,u_opt_factor,0.6,2,5,5,0.5,0.6,0.7,0.6,1.0,0.6,51.520002,40,13,46.000002,73.600002,22.042858,1,1,1000,0,ilp_v2,optimal,1,74.015992,51.487428,1.437555,0.074191,0.0,,0.074191,0.07665,3,0,0
u_opt_factor\set00\u_opt_factor_0.6.py,u_opt_factor,0,u_opt_factor,0.6,2,5,5,0.5,0.6,0.7,0.6,1.0,0.6,51.520002,40,13,46.000002,73.600002,22.042858,1,1,1000,0,ilp_v3,optimal,1,72.051897,51.424945,1.401108,0.077302,0.0,,0.077302,0.085245,3,0,0
u_opt_factor\set00\u_opt_factor_0.6.py,u_opt_factor,0,u_opt_factor,0.6,2,5,5,0.5,0.6,0.7,0.6,1.0,0.6,51.520002,40,13,46.000002,73.600002,22.042858,1,1,1000,0,ilp_v4,optimal,1,75.15186,51.499561,1.459272,0.134289,0.0,,0.134289,0.144897,3,0,0
u_opt_factor\set00\u_opt_factor_0.6.py,u_opt_factor,0,u_opt_factor,0.6,2,5,5,0.5,0.6,0.7,0.6,1.0,0.6,51.520002,40,13,46.000002,73.600002,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,19.675249,51.371908,0.382996,0.001205,,,0.001205,0.001327,3,0,0
u_opt_factor\set00\u_opt_factor_0.7.py,u_opt_factor,0,u_opt_factor,0.7,2,5,5,0.5,0.7,0.7,0.6,1.0,0.7,54.740004,40,13,46.000002,78.200006,22.042858,1,1,1000,0,ilp_v2,optimal,1,81.036515,54.72604,1.480767,0.069681,0.0,,0.069681,0.076735,3,0,0
u_opt_factor\set00\u_opt_factor_0.7.py,u_opt_factor,0,u_opt_factor,0.7,2,5,5,0.5,0.7,0.7,0.6,1.0,0.7,54.740004,40,13,46.000002,78.200006,22.042858,1,1,1000,0,ilp_v3,optimal,1,79.586159,54.732421,1.454095,0.191462,0.0,,0.191462,0.210606,3,0,0
u_opt_factor\set00\u_opt_factor_0.7.py,u_opt_factor,0,u_opt_factor,0.7,2,5,5,0.5,0.7,0.7,0.6,1.0,0.7,54.740004,40,13,46.000002,78.200006,22.042858,1,1,1000,0,ilp_v4,optimal,1,85.287493,54.732135,1.558271,0.255701,0.0,,0.255701,0.270457,3,0,0
u_opt_factor\set00\u_opt_factor_0.7.py,u_opt_factor,0,u_opt_factor,0.7,2,5,5,0.5,0.7,0.7,0.6,1.0,0.7,54.740004,40,13,46.000002,78.200006,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,32.177494,54.693149,0.588328,0.001481,,,0.001481,0.001601,3,0,0
u_opt_factor\set00\u_opt_factor_0.8.py,u_opt_factor,0,u_opt_factor,0.8,2,5,5,0.5,0.8,0.7,0.6,1.0,0.8,57.96,40,13,46.000002,82.8,22.042858,1,1,1000,0,ilp_v2,optimal,1,89.477881,57.706728,1.550562,0.123378,0.0,,0.123378,0.125741,3,0,0
u_opt_factor\set00\u_opt_factor_0.8.py,u_opt_factor,0,u_opt_factor,0.8,2,5,5,0.5,0.8,0.7,0.6,1.0,0.8,57.96,40,13,46.000002,82.8,22.042858,1,1,1000,0,ilp_v3,optimal,1,91.436456,57.894137,1.579373,0.016142,0.0,,0.016142,0.017131,3,0,0
u_opt_factor\set00\u_opt_factor_0.8.py,u_opt_factor,0,u_opt_factor,0.8,2,5,5,0.5,0.8,0.7,0.6,1.0,0.8,57.96,40,13,46.000002,82.8,22.042858,1,1,1000,0,ilp_v4,optimal,1,93.106959,57.94095,1.606928,0.277117,0.0,,0.277117,0.286523,3,0,0
u_opt_factor\set00\u_opt_factor_0.8.py,u_opt_factor,0,u_opt_factor,0.8,2,5,5,0.5,0.8,0.7,0.6,1.0,0.8,57.96,40,13,46.000002,82.8,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,44.034505,57.916569,0.760309,0.001711,,,0.001711,0.001822,3,0,0
u_opt_factor\set00\u_opt_factor_0.9.py,u_opt_factor,0,u_opt_factor,0.9,2,5,5,0.5,0.9,0.7,0.6,1.0,0.9,61.18,40,13,46.000002,87.4,22.042858,1,1,1000,0,ilp_v2,optimal,1,95.917271,61.179017,1.567813,0.151463,0.0,,0.151463,0.16177,3,0,0
u_opt_factor\set00\u_opt_factor_0.9.py,u_opt_factor,0,u_opt_factor,0.9,2,5,5,0.5,0.9,0.7,0.6,1.0,0.9,61.18,40,13,46.000002,87.4,22.042858,1,1,1000,0,ilp_v3,optimal,1,97.920146,61.119495,1.60211,0.159547,0.0,,0.159547,0.164635,3,0,0
u_opt_factor\set00\u_opt_factor_0.9.py,u_opt_factor,0,u_opt_factor,0.9,2,5,5,0.5,0.9,0.7,0.6,1.0,0.9,61.18,40,13,46.000002,87.4,22.042858,1,1,1000,0,ilp_v4,optimal,1,100.393029,61.169916,1.641216,0.233463,0.0,,0.233463,0.240428,3,0,0
u_opt_factor\set00\u_opt_factor_0.9.py,u_opt_factor,0,u_opt_factor,0.9,2,5,5,0.5,0.9,0.7,0.6,1.0,0.9,61.18,40,13,46.000002,87.4,22.042858,1,1,1000,0,greedy_sps_baseline,solved,1,53.754276,60.686151,0.885775,0.00249,,,0.00249,0.002603,3,0,0
