file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error
rho\set01\rho_0.3.py,rho,1,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.700001,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v1,infeasible,0,,,,0.0495,,
rho\set01\rho_0.3.py,rho,1,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.700001,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v2,infeasible,0,,,,0.0065,,
rho\set01\rho_0.3.py,rho,1,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.700001,40,13,46.000002,69.000003,21.433334,1,1,1001,0,heuristic_v5b,infeasible,0,,46.000002,,0.0014,,over budget: E=46.0000 > B=20.7000
rho\set01\rho_0.4.py,rho,1,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.600001,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v1,infeasible,0,,,,0.0416,,
rho\set01\rho_0.4.py,rho,1,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.600001,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v2,infeasible,0,,,,0.0083,,
rho\set01\rho_0.4.py,rho,1,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.600001,40,13,46.000002,69.000003,21.433334,1,1,1001,0,heuristic_v5b,infeasible,0,,32.307782,,0.0048,,over budget: E=32.3078 > B=27.6000
rho\set01\rho_0.5.py,rho,1,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.500002,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v1,optimal,1,26.163291,34.497248,0.758417,0.2219,0.0,
rho\set01\rho_0.5.py,rho,1,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.500002,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v2,optimal,1,20.184149,34.498945,0.585066,0.1811,0.0,
rho\set01\rho_0.5.py,rho,1,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.500002,40,13,46.000002,69.000003,21.433334,1,1,1001,0,heuristic_v5b,solved,1,8.180503,34.499042,0.237123,0.0107,,
rho\set01\rho_0.6.py,rho,1,rho,0.6,2,5,5,0.5,0.5,0.6,0.6,1.0,0.5,41.400002,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v1,optimal,1,48.257162,41.397261,1.165709,1.8018,0.0,
rho\set01\rho_0.6.py,rho,1,rho,0.6,2,5,5,0.5,0.5,0.6,0.6,1.0,0.5,41.400002,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v2,optimal,1,42.919194,41.39037,1.036937,0.0482,0.0,
rho\set01\rho_0.6.py,rho,1,rho,0.6,2,5,5,0.5,0.5,0.6,0.6,1.0,0.5,41.400002,40,13,46.000002,69.000003,21.433334,1,1,1001,0,heuristic_v5b,solved,1,19.548024,41.264975,0.47372,0.0107,,
rho\set01\rho_0.7.py,rho,1,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v1,optimal,1,59.855897,48.295126,1.239378,3.3949,8.2e-05,
rho\set01\rho_0.7.py,rho,1,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v2,optimal,1,59.554483,48.185911,1.235931,0.0781,0.0,
rho\set01\rho_0.7.py,rho,1,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300002,40,13,46.000002,69.000003,21.433334,1,1,1001,0,heuristic_v5b,solved,1,36.380682,48.123976,0.755978,0.0083,,
rho\set01\rho_0.8.py,rho,1,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.200003,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v1,optimal,1,66.171324,54.993102,1.203266,0.0939,0.0,
rho\set01\rho_0.8.py,rho,1,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.200003,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v2,optimal,1,66.094303,55.1609,1.198209,0.0463,0.0,
rho\set01\rho_0.8.py,rho,1,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.200003,40,13,46.000002,69.000003,21.433334,1,1,1001,0,heuristic_v5b,solved,1,58.436043,55.069587,1.061131,0.0038,,
rho\set01\rho_0.9.py,rho,1,rho,0.9,2,5,5,0.5,0.5,0.9,0.6,1.0,0.5,62.100003,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v1,optimal,1,66.171324,60.358854,1.096299,0.0455,0.0,
rho\set01\rho_0.9.py,rho,1,rho,0.9,2,5,5,0.5,0.5,0.9,0.6,1.0,0.5,62.100003,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v2,optimal,1,66.171324,60.358854,1.096299,0.0152,0.0,
rho\set01\rho_0.9.py,rho,1,rho,0.9,2,5,5,0.5,0.5,0.9,0.6,1.0,0.5,62.100003,40,13,46.000002,69.000003,21.433334,1,1,1001,0,heuristic_v5b,solved,1,65.365651,61.838419,1.057039,0.0029,,
rho\set01\rho_1.py,rho,1,rho,1,2,5,5,0.5,0.5,1.0,0.6,1.0,0.5,69.000003,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v1,optimal,1,66.171324,60.152045,1.100068,0.0535,0.0,
rho\set01\rho_1.py,rho,1,rho,1,2,5,5,0.5,0.5,1.0,0.6,1.0,0.5,69.000003,40,13,46.000002,69.000003,21.433334,1,1,1001,0,ilp_v2,optimal,1,66.171324,64.569421,1.024809,0.0197,0.0,
rho\set01\rho_1.py,rho,1,rho,1,2,5,5,0.5,0.5,1.0,0.6,1.0,0.5,69.000003,40,13,46.000002,69.000003,21.433334,1,1,1001,0,heuristic_v5b,solved,1,66.171324,68.740972,0.962618,0.0049,,
rho\set02\rho_0.3.py,rho,2,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.699999,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v1,infeasible,0,,,,0.0474,,
rho\set02\rho_0.3.py,rho,2,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.699999,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v2,infeasible,0,,,,0.0071,,
rho\set02\rho_0.3.py,rho,2,rho,0.3,2,5,5,0.5,0.5,0.3,0.6,1.0,0.5,20.699999,40,11,46.000001,68.999997,21.400001,1,1,1002,0,heuristic_v5b,infeasible,0,,46.000001,,0.0011,,over budget: E=46.0000 > B=20.7000
rho\set02\rho_0.4.py,rho,2,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.599999,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v1,optimal,1,20.481841,27.596741,0.742183,0.9397,0.0,
rho\set02\rho_0.4.py,rho,2,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.599999,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v2,optimal,1,9.27237,27.590859,0.336067,0.0671,0.0,
