file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error,runtime_best,runtime_worst,repeats,censored,nondeterministic
n_tsk\set01\n_tsk_5.py,n_tsk,1,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,13,46.000002,69.00001,21.433334,1,1,1001,0,ilp_v2,optimal,1,44.434702,48.263013,0.920678,0.029062,0.0,,0.029062,0.037908,3,0,0
n_tsk\set01\n_tsk_5.py,n_tsk,1,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,13,46.000002,69.00001,21.433334,1,1,1001,0,ilp_v3,optimal,1,38.281158,48.280096,0.792897,0.17834,0.0,,0.17834,0.218335,3,0,0
n_tsk\set01\n_tsk_5.py,n_tsk,1,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,13,46.000002,69.00001,21.433334,1,1,1001,0,ilp_v4,optimal,1,45.172125,48.226295,0.93667,0.161055,0.0,,0.161055,0.206734,3,0,0
n_tsk\set01\n_tsk_5.py,n_tsk,1,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300007,40,13,46.000002,69.00001,21.433334,1,1,1001,0,greedy_sps_baseline,solved,1,6.057065,48.182155,0.125712,0.006514,,,0.006514,0.006905,3,0,0
n_tsk\set02\n_tsk_3.py,n_tsk,2,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300006,40,7,46.000003,69.000008,21.400002,1,1,1002,0,ilp_v2,optimal,1,33.244879,48.282635,0.688547,0.012398,0.0,,0.012398,0.014692,3,0,0
n_tsk\set02\n_tsk_3.py,n_tsk,2,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300006,40,7,46.000003,69.000008,21.400002,1,1,1002,0,ilp_v3,optimal,1,29.209533,48.121868,0.606991,0.007791,0.0,,0.007791,0.008408,3,0,0
n_tsk\set02\n_tsk_3.py,n_tsk,2,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300006,40,7,46.000003,69.000008,21.400002,1,1,1002,0,ilp_v4,optimal,1,40.816993,45.663174,0.893871,0.027349,0.0,,0.027349,0.034905,3,0,0
n_tsk\set02\n_tsk_3.py,n_tsk,2,n_tsk,3,2,3,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300006,40,7,46.000003,69.000008,21.400002,1,1,1002,0,greedy_sps_baseline,solved,1,5.768908,48.27839,0.119493,0.001209,,,0.001209,0.001342,3,0,0
n_tsk\set02\n_tsk_4.py,n_tsk,2,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,46.0,68.999997,21.4,1,1,1002,0,ilp_v2,optimal,1,57.645259,48.219681,1.195472,0.013281,0.0,,0.013281,0.014193,3,0,0
n_tsk\set02\n_tsk_4.py,n_tsk,2,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,46.0,68.999997,21.4,1,1,1002,0,ilp_v3,optimal,1,55.531587,48.295655,1.149826,0.014521,6.7e-05,,0.014521,0.018257,3,0,0
n_tsk\set02\n_tsk_4.py,n_tsk,2,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,46.0,68.999997,21.4,1,1,1002,0,ilp_v4,optimal,1,57.056627,47.822248,1.193098,0.068088,0.0,,0.068088,0.090957,3,0,0
n_tsk\set02\n_tsk_4.py,n_tsk,2,n_tsk,4,2,4,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,9,46.0,68.999997,21.4,1,1,1002,0,greedy_sps_baseline,solved,1,3.565285,48.244515,0.0739,0.001419,,,0.001419,0.001581,3,0,0
n_tsk\set02\n_tsk_5.py,n_tsk,2,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,11,46.000001,69.000001,21.400001,1,1,1002,0,ilp_v2,optimal,1,68.404718,47.739505,1.432874,0.015545,0.0,,0.015545,0.018299,3,0,0
n_tsk\set02\n_tsk_5.py,n_tsk,2,n_tsk,5,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.300001,40,11,46.000001,69.000001,21.400001,1,1,1002,0,ilp_v3,optimal,1,60.599474,48.298349,1.25469,0.023287,5.8e-05,,0.023287,0.025208,3,0,0
